metric,unit,model,phase,category,value,source_type,evidence,status,notes
Weight footprint per layer,bytes,Deepseek-V3,Decode,formula,10970033437,computed_from_config,decoder_layer_weight_params * weight_bytes; DeepSeek value is average over dense and MoE layers,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main; weight_bytes=1
Weight footprint per expert,bytes,Nano-MoE-Jax,Prefill,formula,524288,computed_from_config,expert_weight_params_per_expert * weight_bytes,mismatch,sheet_value=491520; sheet_source=computed; config_source=Nano-MoE-JAX public default config; weight_bytes=4
Weight footprint per expert,bytes,Nano-MoE-Jax,Decode,formula,524288,computed_from_config,expert_weight_params_per_expert * weight_bytes,mismatch,sheet_value=491520; sheet_source=computed; config_source=Nano-MoE-JAX public default config; weight_bytes=4
Weight footprint per expert,bytes,OLMoE-1B-7B,Prefill,formula,25165824,computed_from_config,expert_weight_params_per_expert * weight_bytes,mismatch,sheet_value=12582912; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; weight_bytes=4
Weight footprint per expert,bytes,OLMoE-1B-7B,Decode,formula,25165824,computed_from_config,expert_weight_params_per_expert * weight_bytes,mismatch,sheet_value=12582912; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; weight_bytes=4
Weight footprint per expert,bytes,Deepseek-V3,Prefill,formula,44040192,computed_from_config,expert_weight_params_per_expert * weight_bytes,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main; weight_bytes=1
Weight footprint per expert,bytes,Deepseek-V3,Decode,formula,44040192,computed_from_config,expert_weight_params_per_expert * weight_bytes,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main; weight_bytes=1
Activation footprint per layer,bytes,Nano-MoE-Jax,Prefill,formula,65536,computed_from_config,B * S_effective * H * activation_bytes; S_effective=S for prefill and 1 for decode,match,"config_source=Nano-MoE-JAX public default config; B=1, S=128, KV=512"
Activation footprint per layer,bytes,Nano-MoE-Jax,Decode,formula,512,computed_from_config,B * S_effective * H * activation_bytes; S_effective=S for prefill and 1 for decode,match,"config_source=Nano-MoE-JAX public default config; B=1, S=512, KV=512"
Activation footprint per layer,bytes,OLMoE-1B-7B,Prefill,formula,134217728,computed_from_config,B * S_effective * H * activation_bytes; S_effective=S for prefill and 1 for decode,mismatch,"sheet_value=2097152; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; B=32, S=512, KV=2048"
Activation footprint per layer,bytes,OLMoE-1B-7B,Decode,formula,262144,computed_from_config,B * S_effective * H * activation_bytes; S_effective=S for prefill and 1 for decode,mismatch,"sheet_value=4096; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; B=32, S=2048, KV=2048"
Activation footprint per layer,bytes,Deepseek-V3,Prefill,formula,469762048,computed_from_config,B * S_effective * H * activation_bytes; S_effective=S for prefill and 1 for decode,mismatch,"sheet_value=7340032; sheet_source=computed; config_source=huggingface:deepseek-ai/DeepSeek-V3@main; B=32, S=1024, KV=4096"
Activation footprint per layer,bytes,Deepseek-V3,Decode,formula,458752,computed_from_config,B * S_effective * H * activation_bytes; S_effective=S for prefill and 1 for decode,mismatch,"sheet_value=7168; sheet_source=computed; config_source=huggingface:deepseek-ai/DeepSeek-V3@main; B=32, S=4096, KV=4096"
Key-Value cache size,bytes,Nano-MoE-Jax,Prefill,formula,2097152,computed_from_config,KV cache formula from config attention layout and sheet KV context length,match,"config_source=Nano-MoE-JAX public default config; B=1, S=128, KV=512"
Key-Value cache size,bytes,Nano-MoE-Jax,Decode,formula,2097152,computed_from_config,KV cache formula from config attention layout and sheet KV context length,match,"config_source=Nano-MoE-JAX public default config; B=1, S=512, KV=512"
Key-Value cache size,bytes,OLMoE-1B-7B,Prefill,formula,17179869184,computed_from_config,KV cache formula from config attention layout and sheet KV context length,mismatch,"sheet_value=4294967296; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; B=32, S=512, KV=2048"
Key-Value cache size,bytes,OLMoE-1B-7B,Decode,formula,17179869184,computed_from_config,KV cache formula from config attention layout and sheet KV context length,mismatch,"sheet_value=4294967296; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; B=32, S=2048, KV=2048"
Key-Value cache size,bytes,Deepseek-V3,Prefill,formula,9210691584,computed_from_config,KV cache formula from config attention layout and sheet KV context length,mismatch,"sheet_value=16374562816; sheet_source=computed; config_source=huggingface:deepseek-ai/DeepSeek-V3@main; B=32, S=1024, KV=4096"
Key-Value cache size,bytes,Deepseek-V3,Decode,formula,9210691584,computed_from_config,KV cache formula from config attention layout and sheet KV context length,mismatch,"sheet_value=16374562816; sheet_source=computed; config_source=huggingface:deepseek-ai/DeepSeek-V3@main; B=32, S=4096, KV=4096"
Bytes moved off-chip per token,bytes/token,Nano-MoE-Jax,Prefill,not_config_verifiable,3080192,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
Bytes moved off-chip per token,bytes/token,Nano-MoE-Jax,Decode,not_config_verifiable,5111808,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
Bytes moved off-chip per token,bytes/token,OLMoE-1B-7B,Prefill,not_config_verifiable,65011712,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
Bytes moved off-chip per token,bytes/token,OLMoE-1B-7B,Decode,not_config_verifiable,197132288,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
Bytes moved off-chip per token,bytes/token,Deepseek-V3,Prefill,not_config_verifiable,1110704128,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
Bytes moved off-chip per token,bytes/token,Deepseek-V3,Decode,not_config_verifiable,1615069184,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
On-chip resident working set,bytes,Nano-MoE-Jax,Prefill,not_config_verifiable,2884096,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
On-chip resident working set,bytes,Nano-MoE-Jax,Decode,not_config_verifiable,2884096,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
On-chip resident working set,bytes,OLMoE-1B-7B,Prefill,not_config_verifiable,851750912,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
On-chip resident working set,bytes,OLMoE-1B-7B,Decode,not_config_verifiable,851750912,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
On-chip resident working set,bytes,Deepseek-V3,Prefill,not_config_verifiable,10987222855,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
On-chip resident working set,bytes,Deepseek-V3,Decode,not_config_verifiable,10987222855,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
Reuse / locality notes,text,Nano-MoE-Jax,Prefill,not_config_verifiable,All weights fit on-chip (9.4 MB); KV fits SRAM; zero off-chip streaming needed,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=assumed (golden-ref)
Reuse / locality notes,text,Nano-MoE-Jax,Decode,not_config_verifiable,All weights fit on-chip (9.4 MB); KV fits SRAM; zero off-chip streaming needed,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=assumed (golden-ref)
Reuse / locality notes,text,OLMoE-1B-7B,Prefill,not_config_verifiable,8/64 experts active; 87.5% expert weight cold per token; dynamic page fetch per layer,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=OLMoE paper/HF config
Reuse / locality notes,text,OLMoE-1B-7B,Decode,not_config_verifiable,8/64 experts active; 87.5% expert weight cold per token; dynamic page fetch per layer,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=OLMoE paper/HF config
Reuse / locality notes,text,Deepseek-V3,Prefill,not_config_verifiable,MLA 32× KV compression vs standard MHA; 9/257 experts active; 96.5% expert weight cold,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=DeepSeek-V3 report
Reuse / locality notes,text,Deepseek-V3,Decode,not_config_verifiable,MLA 32× KV compression vs standard MHA; 9/257 experts active; 96.5% expert weight cold,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=DeepSeek-V3 report
Key-Value cache read bandwidth per decode step,bytes/step,Nano-MoE-Jax,Prefill,formula,,computed_from_config,decode-only metric,not_applicable,prefill column intentionally blank
Key-Value cache read bandwidth per decode step,bytes/step,Nano-MoE-Jax,Decode,formula,2097152,computed_from_config,decode step reads B * KV cached keys/values across layers,match,"config_source=Nano-MoE-JAX public default config; B=1, S=512, KV=512"
Key-Value cache read bandwidth per decode step,bytes/step,OLMoE-1B-7B,Prefill,formula,,computed_from_config,decode-only metric,not_applicable,prefill column intentionally blank
Key-Value cache read bandwidth per decode step,bytes/step,OLMoE-1B-7B,Decode,formula,17179869184,computed_from_config,decode step reads B * KV cached keys/values across layers,mismatch,"sheet_value=4294967296; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; B=32, S=2048, KV=2048"
Key-Value cache read bandwidth per decode step,bytes/step,Deepseek-V3,Prefill,formula,,computed_from_config,decode-only metric,not_applicable,prefill column intentionally blank
Key-Value cache read bandwidth per decode step,bytes/step,Deepseek-V3,Decode,formula,9210691584,computed_from_config,decode step reads B * KV cached keys/values across layers,mismatch,"sheet_value=16374562816; sheet_source=computed; config_source=huggingface:deepseek-ai/DeepSeek-V3@main; B=32, S=4096, KV=4096"
Weights precision,,Nano-MoE-Jax,Prefill,config,FP32,config,JAX default dtype for Nano-MoE-JAX defaults,match,config_source=Nano-MoE-JAX public default config
Weights precision,,Nano-MoE-Jax,Decode,config,FP32,config,JAX default dtype for Nano-MoE-JAX defaults,match,config_source=Nano-MoE-JAX public default config
Weights precision,,OLMoE-1B-7B,Prefill,config,FP32,config,torch_dtype,mismatch,sheet_value=BF16; sheet_source=OLMoE paper/HF config; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Weights precision,,OLMoE-1B-7B,Decode,config,FP32,config,torch_dtype,mismatch,sheet_value=BF16; sheet_source=OLMoE paper/HF config; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Weights precision,,Deepseek-V3,Prefill,config,FP8 (E4M3),config,quantization_config,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Weights precision,,Deepseek-V3,Decode,config,FP8 (E4M3),config,quantization_config,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Activations precision,,Nano-MoE-Jax,Prefill,config,FP32,config,JAX default dtype for Nano-MoE-JAX defaults,match,config_source=Nano-MoE-JAX public default config
Activations precision,,Nano-MoE-Jax,Decode,config,FP32,config,JAX default dtype for Nano-MoE-JAX defaults,match,config_source=Nano-MoE-JAX public default config
Activations precision,,OLMoE-1B-7B,Prefill,config,FP32,config,torch_dtype,mismatch,sheet_value=BF16; sheet_source=OLMoE paper/HF config; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Activations precision,,OLMoE-1B-7B,Decode,config,FP32,config,torch_dtype,mismatch,sheet_value=BF16; sheet_source=OLMoE paper/HF config; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Activations precision,,Deepseek-V3,Prefill,config,BF16,config,torch_dtype,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Activations precision,,Deepseek-V3,Decode,config,BF16,config,torch_dtype,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Key-Value cache precision,,Nano-MoE-Jax,Prefill,config,FP32,config,JAX default dtype for Nano-MoE-JAX defaults,match,config_source=Nano-MoE-JAX public default config
Key-Value cache precision,,Nano-MoE-Jax,Decode,config,FP32,config,JAX default dtype for Nano-MoE-JAX defaults,match,config_source=Nano-MoE-JAX public default config
Key-Value cache precision,,OLMoE-1B-7B,Prefill,config,FP32,config,torch_dtype,mismatch,sheet_value=BF16; sheet_source=OLMoE paper/HF config; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Key-Value cache precision,,OLMoE-1B-7B,Decode,config,FP32,config,torch_dtype,mismatch,sheet_value=BF16; sheet_source=OLMoE paper/HF config; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Key-Value cache precision,,Deepseek-V3,Prefill,config,BF16,config,torch_dtype,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Key-Value cache precision,,Deepseek-V3,Decode,config,BF16,config,torch_dtype,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Accumulation precision,,Nano-MoE-Jax,Prefill,not_config_verifiable,FP32,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=assumed (golden-ref)
Accumulation precision,,Nano-MoE-Jax,Decode,not_config_verifiable,FP32,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=assumed (golden-ref)
Accumulation precision,,OLMoE-1B-7B,Prefill,not_config_verifiable,FP32,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=OLMoE paper/HF config
Accumulation precision,,OLMoE-1B-7B,Decode,not_config_verifiable,FP32,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=OLMoE paper/HF config
Accumulation precision,,Deepseek-V3,Prefill,not_config_verifiable,FP32,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=DeepSeek-V3 report
Accumulation precision,,Deepseek-V3,Decode,not_config_verifiable,FP32,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=DeepSeek-V3 report
Quantization scheme,,Nano-MoE-Jax,Prefill,config,None,config,no quantization field in Nano-MoE-JAX defaults,match,config_source=Nano-MoE-JAX public default config
Quantization scheme,,Nano-MoE-Jax,Decode,config,None,config,no quantization field in Nano-MoE-JAX defaults,match,config_source=Nano-MoE-JAX public default config
Quantization scheme,,OLMoE-1B-7B,Prefill,config,None,config,quantization_config absent,mismatch,sheet_value=None (BF16 baseline); sheet_source=OLMoE paper/HF config; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Quantization scheme,,OLMoE-1B-7B,Decode,config,None,config,quantization_config absent,mismatch,sheet_value=None (BF16 baseline); sheet_source=OLMoE paper/HF config; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Quantization scheme,,Deepseek-V3,Prefill,config,"{'activation_scheme': 'dynamic', 'fmt': 'e4m3', 'quant_method': 'fp8', 'weight_block_size': [128, 128]}",config,quantization_config,mismatch,sheet_value=Per-tensor FP8 weights; BF16 activations; online scale factors; sheet_source=DeepSeek-V3 report; config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Quantization scheme,,Deepseek-V3,Decode,config,"{'activation_scheme': 'dynamic', 'fmt': 'e4m3', 'quant_method': 'fp8', 'weight_block_size': [128, 128]}",config,quantization_config,mismatch,sheet_value=Per-tensor FP8 weights; BF16 activations; online scale factors; sheet_source=DeepSeek-V3 report; config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Expert activation fraction (top-k / total),%,Nano-MoE-Jax,Prefill,formula,50,computed_from_config,100 * (top_k + shared_experts) / (routed_experts + shared_experts),mismatch,sheet_value=25; sheet_source=computed; config_source=Nano-MoE-JAX public default config; shared_experts included for DeepSeek hardware-active expert pages
Expert activation fraction (top-k / total),%,Nano-MoE-Jax,Decode,formula,50,computed_from_config,100 * (top_k + shared_experts) / (routed_experts + shared_experts),mismatch,sheet_value=25; sheet_source=computed; config_source=Nano-MoE-JAX public default config; shared_experts included for DeepSeek hardware-active expert pages
Expert activation fraction (top-k / total),%,OLMoE-1B-7B,Prefill,formula,12.5,computed_from_config,100 * (top_k + shared_experts) / (routed_experts + shared_experts),match,config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; shared_experts included for DeepSeek hardware-active expert pages
Expert activation fraction (top-k / total),%,OLMoE-1B-7B,Decode,formula,12.5,computed_from_config,100 * (top_k + shared_experts) / (routed_experts + shared_experts),match,config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; shared_experts included for DeepSeek hardware-active expert pages
Expert activation fraction (top-k / total),%,Deepseek-V3,Prefill,formula,3.50195,computed_from_config,100 * (top_k + shared_experts) / (routed_experts + shared_experts),match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main; shared_experts included for DeepSeek hardware-active expert pages
Expert activation fraction (top-k / total),%,Deepseek-V3,Decode,formula,3.50195,computed_from_config,100 * (top_k + shared_experts) / (routed_experts + shared_experts),match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main; shared_experts included for DeepSeek hardware-active expert pages
Other sparsity (type + level),text,Nano-MoE-Jax,Prefill,not_config_verifiable,None,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=assumed (golden-ref)
Other sparsity (type + level),text,Nano-MoE-Jax,Decode,not_config_verifiable,None,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=assumed (golden-ref)
Other sparsity (type + level),text,OLMoE-1B-7B,Prefill,not_config_verifiable,None beyond expert sparsity,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=OLMoE paper/HF config
Other sparsity (type + level),text,OLMoE-1B-7B,Decode,not_config_verifiable,None beyond expert sparsity,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=OLMoE paper/HF config
Other sparsity (type + level),text,Deepseek-V3,Prefill,not_config_verifiable,FP8 weight quantization (additional effective sparsity),ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=DeepSeek-V3 report
Other sparsity (type + level),text,Deepseek-V3,Decode,not_config_verifiable,FP8 weight quantization,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=DeepSeek-V3 report
Routing / gather-scatter implication,text,Nano-MoE-Jax,Prefill,not_config_verifiable,"Top-2 gather from 8 experts; regular pattern, minimal scatter overhead for tiny model",ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=assumed (golden-ref)
Routing / gather-scatter implication,text,Nano-MoE-Jax,Decode,not_config_verifiable,"Top-2 gather from 8 experts; regular pattern, minimal scatter overhead for tiny model",ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=assumed (golden-ref)
Routing / gather-scatter implication,text,OLMoE-1B-7B,Prefill,not_config_verifiable,Top-8 gather from 64 experts; irregular page access across 8 expert groups; REDEFINE dynamic dispatch required,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=OLMoE paper/HF config
Routing / gather-scatter implication,text,OLMoE-1B-7B,Decode,not_config_verifiable,Top-8 gather from 64 experts; irregular page access; REDEFINE event-driven dispatch critical path,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=OLMoE paper/HF config
Routing / gather-scatter implication,text,Deepseek-V3,Prefill,not_config_verifiable,Top-8+1 gather from 256+1 experts; 9 distinct weight pages per token per MoE layer,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=DeepSeek-V3 report
Routing / gather-scatter implication,text,Deepseek-V3,Decode,not_config_verifiable,Top-8+1 gather from 256+1 experts; REDEFINE event-driven dispatch critical path,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=DeepSeek-V3 report
Latency target (first-token prefill / per-token decode),ms,Nano-MoE-Jax,Prefill,not_config_verifiable,< 1 / < 0.1,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Latency target (first-token prefill / per-token decode),ms,Nano-MoE-Jax,Decode,not_config_verifiable,< 1 / < 0.1,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Latency target (first-token prefill / per-token decode),ms,OLMoE-1B-7B,Prefill,not_config_verifiable,< 50 / < 20,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Latency target (first-token prefill / per-token decode),ms,OLMoE-1B-7B,Decode,not_config_verifiable,< 50 / < 20,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Latency target (first-token prefill / per-token decode),ms,Deepseek-V3,Prefill,not_config_verifiable,< 500 / < 100,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Latency target (first-token prefill / per-token decode),ms,Deepseek-V3,Decode,not_config_verifiable,< 500 / < 100,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Throughput target (per stream),tokens/s,Nano-MoE-Jax,Prefill,not_config_verifiable,> 1000,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Throughput target (per stream),tokens/s,Nano-MoE-Jax,Decode,not_config_verifiable,> 1000,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Throughput target (per stream),tokens/s,OLMoE-1B-7B,Prefill,not_config_verifiable,> 100,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Throughput target (per stream),tokens/s,OLMoE-1B-7B,Decode,not_config_verifiable,> 100,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Throughput target (per stream),tokens/s,Deepseek-V3,Prefill,not_config_verifiable,> 10,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Throughput target (per stream),tokens/s,Deepseek-V3,Decode,not_config_verifiable,> 10,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Throughput target (aggregate),tokens/s,Nano-MoE-Jax,Prefill,not_config_verifiable,> 1000,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Throughput target (aggregate),tokens/s,Nano-MoE-Jax,Decode,not_config_verifiable,> 1000,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Throughput target (aggregate),tokens/s,OLMoE-1B-7B,Prefill,not_config_verifiable,> 3200 (32×),ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Throughput target (aggregate),tokens/s,OLMoE-1B-7B,Decode,not_config_verifiable,> 3200 (32×),ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Throughput target (aggregate),tokens/s,Deepseek-V3,Prefill,not_config_verifiable,> 320 (32×),ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Throughput target (aggregate),tokens/s,Deepseek-V3,Decode,not_config_verifiable,> 320 (32×),ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Efficiency target (optional),tokens/J or TOPS/W,Nano-MoE-Jax,Prefill,not_config_verifiable,N/A (test model),ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Efficiency target (optional),tokens/J or TOPS/W,Nano-MoE-Jax,Decode,not_config_verifiable,N/A (test model),ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Efficiency target (optional),tokens/J or TOPS/W,OLMoE-1B-7B,Prefill,not_config_verifiable,TBD,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Efficiency target (optional),tokens/J or TOPS/W,OLMoE-1B-7B,Decode,not_config_verifiable,TBD,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Efficiency target (optional),tokens/J or TOPS/W,Deepseek-V3,Prefill,not_config_verifiable,TBD,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Efficiency target (optional),tokens/J or TOPS/W,Deepseek-V3,Decode,not_config_verifiable,TBD,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Accuracy floor,%,Nano-MoE-Jax,Prefill,not_config_verifiable,N/A (test model),ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Accuracy floor,%,Nano-MoE-Jax,Decode,not_config_verifiable,N/A (test model),ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Accuracy floor,%,OLMoE-1B-7B,Prefill,not_config_verifiable,>= 95% of FP16 baseline,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Accuracy floor,%,OLMoE-1B-7B,Decode,not_config_verifiable,>= 95% of FP16 baseline,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Accuracy floor,%,Deepseek-V3,Prefill,not_config_verifiable,>= 95% of FP16 baseline,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Accuracy floor,%,Deepseek-V3,Decode,not_config_verifiable,>= 95% of FP16 baseline,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=target
Throughput target (per cycle),tokens/cycle,Nano-MoE-Jax,Prefill,not_config_verifiable,,ai_sheet_unverified,not derivable from config-only verification,missing_unverified_value,source=-
Throughput target (per cycle),tokens/cycle,Nano-MoE-Jax,Decode,not_config_verifiable,,ai_sheet_unverified,not derivable from config-only verification,missing_unverified_value,source=-
Throughput target (per cycle),tokens/cycle,OLMoE-1B-7B,Prefill,not_config_verifiable,,ai_sheet_unverified,not derivable from config-only verification,missing_unverified_value,source=-
Throughput target (per cycle),tokens/cycle,OLMoE-1B-7B,Decode,not_config_verifiable,,ai_sheet_unverified,not derivable from config-only verification,missing_unverified_value,source=-
Throughput target (per cycle),tokens/cycle,Deepseek-V3,Prefill,not_config_verifiable,,ai_sheet_unverified,not derivable from config-only verification,missing_unverified_value,source=-
Throughput target (per cycle),tokens/cycle,Deepseek-V3,Decode,not_config_verifiable,,ai_sheet_unverified,not derivable from config-only verification,missing_unverified_value,source=-
